ID,Longitude,Latitude
Carollia_castanea,-83.53,10.6
Choeroniscus_godmani,-90,13.8
Choeroniscus_godmani,-56.933,4.542
Choeroniscus_godmani,-56.092,1.994
Choeroniscus_minor,-58.767,1.367
Choeroniscus_minor,-58.85,4.73
Choeroniscus_minor,-58.85,4.73
Choeroniscus_minor,-58.85,4.367
Choeroniscus_minor,-58.85,4.367
Choeroniscus_minor,-59.817,5.133
Choeroniscus_minor,-59.05,4.1
Choeroniscus_minor,-55.2,4.933
Choeroniscus_minor,-76.45,-0.65
Choeroniscus_minor,-76.45,-0.633
Choeroniscus_minor,-76.35,-0.833
Choeroniscus_minor,-76.4,-0.68
Choeroniscus_minor,-76.433,-0.683
Choeroniscus_minor,-76.4,-0.683
Choeroniscus_minor,-76.4,-0.683
Chrotopterus_auritus,-87.5,20.3
Chrotopterus_auritus,-90.817,17.6
Chrotopterus_auritus,-90.983,18.8
Chrotopterus_auritus,-90.983,18.8
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.583,6.483
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.85,4.367
Chrotopterus_auritus,-58.85,4.367
Chrotopterus_auritus,-58.717,4.733
Chrotopterus_auritus,-58.817,4.33
Chrotopterus_auritus,-59.083,4.533
Chrotopterus_auritus,-59.083,4.533
Chrotopterus_auritus,-59.083,4.533
Chrotopterus_auritus,-58.617,4.583
Chrotopterus_auritus,-58.617,4.583
Chrotopterus_auritus,-58.717,4.633
Chrotopterus_auritus,-58.85,4.73
Chrotopterus_auritus,-58.85,4.73
Chrotopterus_auritus,-58.85,4.73
Chrotopterus_auritus,-58.717,4.633
Chrotopterus_auritus,-58.85,4.67
Chrotopterus_auritus,-61.11,5.81
Chrotopterus_auritus,-58.717,4.633
Chrotopterus_auritus,-58.783,3.267
Chrotopterus_auritus,-58.817,3.183
Chrotopterus_auritus,-58.817,3.183
Chrotopterus_auritus,-58.817,3.183
Chrotopterus_auritus,-58.817,3.183
Chrotopterus_auritus,-58.817,3.183
Chrotopterus_auritus,-59.92,5.3
Chrotopterus_auritus,-58.517,4.283
Chrotopterus_auritus,-58.683,4.667
Chrotopterus_auritus,-58.85,4.333
Chrotopterus_auritus,-58.87,4.38
Chrotopterus_auritus,-57.3,5.167
Chrotopterus_auritus,-55.2,4.93
Chrotopterus_auritus,-76.45,-0.65
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-58.7,5.15
Chrotopterus_auritus,-59.05,4.1
Chrotopterus_auritus,-58.683,4.667
Chrotopterus_auritus,-58.517,4.283
Chrotopterus_auritus,-58.517,4.283
Chrotopterus_auritus,-58.517,4.283
Chrotopterus_auritus,-58.917,4.383
Chrotopterus_auritus,-58.917,4.383
Chrotopterus_auritus,-58.683,4.667
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.663,5.033
Chrotopterus_auritus,-58.233,3.506
Chrotopterus_auritus,-58.233,3.506
Chrotopterus_auritus,-58.909,4.25
Chrotopterus_auritus,-58.909,4.25
Chrotopterus_auritus,-58.909,4.25
Chrotopterus_auritus,-57.178,4.661
Chrotopterus_auritus,-56.063,1.944
Chrotopterus_auritus,-56.063,1.944
Chrotopterus_auritus,-56.063,1.944
Chrotopterus_auritus,-55.21,4.93
Chrotopterus_auritus,-56.19,3.848
Chrotopterus_auritus,-49.667,-22.383
Chrotopterus_auritus,-49.667,-22.383
Chrotopterus_auritus,-49.667,-22.383
Cormura_brevirostris,-83.517,10.567
Cormura_brevirostris,-83.517,10.567
Cormura_brevirostris,-58.833,1.533
Cormura_brevirostris,-58.833,1.533
Cormura_brevirostris,-58.834,1.533
Cormura_brevirostris,-58.835,1.533
Cormura_brevirostris,-58.836,1.533
Cormura_brevirostris,-57.178,4.661
Cormura_brevirostris,-57.178,4.661
Cormura_brevirostris,-57.178,4.661
Cormura_brevirostris,-57.178,4.661
Cormura_brevirostris,-56.994,4.811
Cormura_brevirostris,-57.178,4.661
Cormura_brevirostris,-56.933,4.542
Cormura_brevirostris,-56.867,4.486
Cormura_brevirostris,-56.867,4.486
Cormura_brevirostris,-56.063,1.944
Cormura_brevirostris,-58.633,1.583
Cormura_brevirostris,-58.633,1.583
Cormura_brevirostris,-58.767,1.367
Cormura_brevirostris,-58.583,6.483
Cormura_brevirostris,-59.481,5.175
Cormura_brevirostris,-58.683,4.683
Cormura_brevirostris,-58.683,4.683
Cormura_brevirostris,-58.517,4.283
Cormura_brevirostris,-58.517,4.33
Cormura_brevirostris,-58.85,4.367
Cormura_brevirostris,-58.85,4.367
Cormura_brevirostris,-58.85,4.367
Cormura_brevirostris,-58.85,4.333
Cormura_brevirostris,-58.85,4.333
